raman_shift,pointwise_std,variance_weight
400.0,0.004199541798887004,0.6912386240046364
401.25,0.004551245992514193,0.6402351705768541
402.5,0.004692849835342228,0.6217639903944638
403.75,0.004627010575249091,0.630217863568831
405.0,0.004590447291018712,0.635012689249712
406.25,0.004473685730451745,0.6508252124147094
407.5,0.004344721868783837,0.6692313727650393
408.75,0.004300745398439096,0.6757481979095689
410.0,0.004312310330092633,0.6740221349334511
411.25,0.004383675762519532,0.6635629296277704
412.5,0.004453664194491211,0.6536160785031253
413.75,0.004438001212033721,0.6558161348155348
415.0,0.004238841752250314,0.6851396936716152
416.25,0.003964998775463788,0.7300215628810857
417.5,0.0037825121373632497,0.7633443858398734
418.75,0.003791431466748082,0.761645125596382
420.0,0.003896600728802039,0.7421647936218536
421.25,0.003973463920094921,0.7285462582210992
422.5,0.004006055649251104,0.7229214186769611
423.75,0.003959236304880185,0.731029268514174
425.0,0.0038482497383905087,0.7509955437139264
426.25,0.0036722480616112577,0.7849952942081174
427.5,0.0035124396583821704,0.8186478701568075
428.75,0.003439137847030769,0.8350684477282552
430.0,0.0034443887400674696,0.8338703057998674
431.25,0.0033835067155006315,0.8479770306235669
432.5,0.0031376165951876524,0.9101639908841445
433.75,0.0029558502898268074,0.9623330420673588
435.0,0.002979172657303543,0.9553072447918222
436.25,0.0030469325823701495,0.9354646760947386
437.5,0.003199792007200234,0.8935935951683512
438.75,0.0033313671422046313,0.8604430618245994
440.0,0.003364862384900931,0.8523929919932848
441.25,0.003362690198505595,0.8529104736008853
442.5,0.0033851233349037812,0.8475962845518772
443.75,0.003393382760568218,0.845656348927983
445.0,0.0034167319237104646,0.8402199323926405
446.25,0.003422495975188253,0.838888621008717
447.5,0.003348909164219664,0.8562082345609473
448.75,0.003350779096843194,0.8557592705979871
450.0,0.003417382356410491,0.8400694917876138
451.25,0.003453390429472652,0.8318242916025871
452.5,0.003489916136469459,0.8236242909340507
453.75,0.003430047824568589,0.8371507569218265
455.0,0.003343545283460835,0.857498700353747
456.25,0.0033391867263348677,0.8585501691827205
457.5,0.003302191077753972,0.8675800158274697
458.75,0.003294857233318211,0.8693926564647072
460.0,0.003438270105070128,0.8352667795465836
461.25,0.003529016742282591,0.8150235218631398
462.5,0.0035223954875776738,0.8164673109346496
463.75,0.003396922077689217,0.8448277658093359
465.0,0.003249598987033517,0.8807485188721151
466.25,0.0031787591072731684,0.899131133558414
467.5,0.003155405330314468,0.9053606782178403
468.75,0.00310884423905137,0.9180419205808739
470.0,0.0030688066915409476,0.9292339686958246
471.25,0.0030297965406702225,0.9404044502108057
472.5,0.002883878311503367,0.9846810559380335
473.75,0.0026735502719738937,1.0563719733931631
475.0,0.002518923910626573,1.1161116052436784
476.25,0.0024244637952761374,1.1560496780097806
477.5,0.002388466612794759,1.1720319668486963
