raman_shift,arithmetic_mean_discrete_interpolated,spline_mean_functional,robust_median_functional,wasserstein_exact_quantile_fallback,wasserstein_exact_quantile
400.0,0.00667395089393461,0.00663338534567613,0.007325437002249022,0.0017117296410261633,0.0017117296410261633
401.25,0.005320621711286626,0.005137265951185842,0.005787887987351442,0.0015898083086973247,0.0015898083086973247
402.5,0.004503100133159439,0.00449249020681205,0.00508609141865099,0.00155618566574449,0.00155618566574449
403.75,0.004239464310065182,0.004372450168831524,0.004919341440347945,0.0015546497784692758,0.0015546497784692758
405.0,0.004387681184375242,0.004423388896912289,0.004948559460514102,0.001806198025207811,0.001806198025207811
406.25,0.004587366183440106,0.004602558131727949,0.005150547555753689,0.002338233343286123,0.002338233343286123
407.5,0.004825373871850826,0.004802937805386849,0.005385397489774386,0.002895738865540325,0.002895738865540325
408.75,0.004953413355902294,0.004932272819480716,0.005531324170138625,0.0033308948676511086,0.0033308948676511086
410.0,0.004935326513341267,0.004896633309420151,0.005489286850684546,0.003719239887502348,0.003719239887502348
411.25,0.004818280555260725,0.004778087830141262,0.005370858447885285,0.0040937173332349155,0.0040937173332349155
412.5,0.004615930632765008,0.004713873047748507,0.005335753909628753,0.0043327147647266445,0.0043327147647266445
413.75,0.004649566883674778,0.004778805048721599,0.005466353149880138,0.004509982315732839,0.004509982315732839
415.0,0.005054223537770232,0.005126753235399332,0.0058370935843155706,0.004763409306288225,0.004763409306288225
416.25,0.005653720344411758,0.005606495268710972,0.006264809883565649,0.004847997609505389,0.004847997609505389
417.5,0.005967372241112314,0.005893692136168684,0.006472702778977759,0.0045841885504687456,0.0045841885504687456
418.75,0.005959135322172999,0.005924716434427144,0.006467979461648824,0.004225666605581917,0.004225666605581917
420.0,0.005807559753286597,0.005790539329820188,0.00635317322779188,0.0038975452762925935,0.0038975452762925935
421.25,0.0056463161782880356,0.005641685158570512,0.006244879482413508,0.0033990013354540773,0.0033990013354540773
422.5,0.00557766862364407,0.00558796503049559,0.006224154830219061,0.003035462575484289,0.003035462575484289
423.75,0.005663582642909806,0.005686504920308698,0.0063302532731228794,0.0029338013515245362,0.0029338013515245362
