method,peak_cm-1,matched_band_cm-1,functional_group,assignment,source_type,match_delta_cm-1,match_confidence
wasserstein_exact_quantile,2771.25,,Unassigned,Unassigned,Unassigned,93.75,unassigned
wasserstein_exact_quantile,1433.75,1450.0,Acetyl-CoA / beta-oxidation,Bacterial-action signature,bacterial-action,16.25,approximate
wasserstein_exact_quantile,1741.25,1759.0,CH2 bending,Fat / Lactose,milk,17.75,approximate
wasserstein_exact_quantile,3072.5,,Unassigned,Unassigned,Unassigned,170.5,unassigned
wasserstein_exact_quantile,2813.75,,Unassigned,Unassigned,Unassigned,51.25,unassigned
wasserstein_exact_quantile,1386.25,1416.0,CH2 bending,Fat / Lactose,milk,29.75,approximate
wasserstein_exact_quantile,2997.5,,Unassigned,Unassigned,Unassigned,95.5,unassigned
wasserstein_exact_quantile,1573.75,1566.0,Amide I,Proteins,milk,7.75,close match
wasserstein_exact_quantile,1617.5,,Unassigned,Unassigned,Unassigned,51.5,unassigned
wasserstein_exact_quantile,1677.5,1670.0,Amide II,Proteins,milk,7.5,close match
