sample_id,l2,weighted_l2,auc,wasserstein_1d,fingerprint_distance,ch_stretch_distance
Amul full cream Cold 532nm 50% 600g 50xL 10s 10times 400-3500cm-1 200hole.txt,0.28155974410247153,0.14206899567119338,3.2790893500517626,121.1437186727718,0.19767281882829446,0.024036129153626056
Amul full cream RT 532nm 50% 600g 50xL 10s 10times 400-3500cm-1 200hole.txt,0.33744586656288156,0.16729120225382535,8.608971810080867,124.0946449474085,0.14428793868433068,0.19225142308394869
Amul full cream RT after 24h 532nm 50% 600g 50xL 10s 10times 400-3500cm-1 200hole.txt,0.21334902213146292,0.10365682785846411,3.7872682983351993,92.62373574431382,0.10180736238685989,0.15577624737209966
Amul full cream after heating 532nm 50% 600g 50xL 10s 10times 400-3500cm-1 200hole.txt,0.3786959541901795,0.19997569971294007,5.569358477115831,189.96899934791549,0.24911314807549023,0.04184631708178887
Amul full cream basic 532nm 50% 600g 50xL 10s 10times 400-3500cm-1 200hole.txt,0.27767408992030007,0.13032766930827439,0.5430139025173446,112.62024815285028,0.2466103532722323,0.07421641316420714
Amul toned milk Cold 532nm 50% 600g 50xL 10s 10times 400-3500cm-1 200hole.txt,0.38521349731576,0.21966284122686605,8.883134005963747,72.14716603370735,0.20343596566045985,0.09598337457401705
Amul toned milk RT 532nm 50% 600g 50xL 10s 10times 400-3500cm-1 200hole.txt,0.2637522717511561,0.1417173843207609,1.405693391826837,39.76283784656131,0.23609698408644675,0.08959294443114452
Amul toned milk RT after 24h 532nm 50% 600g 50xL 10s 10times 400-3500cm-1 200hole.txt,0.5954120431452361,0.27344898615887625,8.590660891777958,156.73589894009382,0.22911293676073102,0.262939898911192
Amul toned milk after heating 532nm 50% 600g 50xL 10s 10times 400-3500cm-1 200hole.txt,0.7401266409935521,0.34355235990165955,8.626866592990268,193.57431733971566,0.3005875708909779,0.36715256894142234
Amul toned milk basic 532nm 50% 600g 50xL 10s 10times 400-3500cm-1 200hole.txt,0.4969040416209661,0.23602996760001843,8.185763695358474,132.81552884510847,0.2009377922290136,0.18333499105754217
Heritage full cream Cold 532nm 50% 600g 50xL 10s 10times 400-3500cm-1 100hole.txt,0.1828062976548682,0.08845022958827758,0.22883285982415913,69.49065733703387,0.1556239531638641,0.08932987189033235
Heritage full cream RT 532nm 100% 600g 50xL 10s 10times 400-3500cm-1.txt,0.4269785560170422,0.20419542132696722,10.819321410105552,246.17951871739888,0.25539694317139555,0.24035033236604036
Heritage full cream RT 532nm 50% 600g 50xL 10s 10times 400-3500cm-1 100hole after heating.txt,0.26020003692916044,0.12558240494740325,3.507740807831283,120.64250957402427,0.17558630623094548,0.16690103645321633
