detail_level,peak_region_energy_ratio,total_energy
4,0.9935620698884661,0.01913439727618619
3,0.9693774698635074,0.0016499818937134561
2,0.7695843002673828,3.745758468450447e-05
1,0.4751443884063512,1.2119273066302168e-06
